"LINE","BATCH_ID","LOT_ID","LOT_TYPE","PROD_NAME","STEP_NAME","PRIORITY","LOT_STATUS","QTY","LOT_CMMT","CST_ID","CST_LOCATION","LAST_TRKOUT_TIME","TRKIN_TIME","W/T(hrs)","P/T(hrs)","H/T(hrs)"
"G_Line","P129141","500B1FC902D0.01","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W579","","2012/09/22 08:19:32","","28.54","",""
"G_Line","P129141","500B1FC902D0.02","P","500B1F003","2410_CFGL","Normal","Processing","72","","1W303","","2012/09/22 07:19:45","2012/09/23 12:28:02","","0.40",""
"CFRS(R33)","R500CC","500C1FC90110.01","P","REWORK-R33-EXG.5","CFRS_331","Normal","Waiting","1","","1W214","","2012/09/14 18:54:42","","209.96","",""
"CFRS(R33)","RCD053","500D1FC70010.0U","P","REWORK-R33-EXG.5","CFRS_331","Normal","Waiting","72","","1W170","","2012/09/10 11:57:04","","312.92","",""
"CFDR","RCD052","500D1FC70010.24","P","REWORK-R32-EXG.5","CFDR2","Normal","OnHold","28","MFG_李秀媛_內為700P基板，EDA無資料，待整合確認 (Reposition step hold)","1W480","","2012/08/09 19:58:41","2012/08/10 19:13:23","","","1048.60"
"R33","E127042","500E1FC70010.10","E","500E1F003","R33","Normal","OnHold","11","MFG_吳明書_5吋DN 0.4t暫不form Rework batch","1C445","","2012/07/21 02:01:06","","","","923.75"
"R33","E128313","500G1FC70010.0R","E","500G1F003","R33","Normal","OnHold","4","MFG_吳明書_5吋GOP0.4t基板，暫不form rework batch,可與其他500G合併","1C022","","2012/08/01 13:24:23","","","","431.23"
"IS_Line","E128313","500G1FC80010.0Z","E","500G1F003","2900_CFIS","Normal","OnHold","19","MFG_林峰世_待PE彭孟璿處理","1W509","","2012/09/18 05:31:20","","","","127.09"
"R33","E128313","500G1FC80010.1C","E","500G1F003","R33","Normal","Waiting","44","","1W368","","2012/09/13 19:44:41","","233.12","",""
"PS_OCLine","E129132","500G1FC80010.1E","E","500G1F003","2830_CFPS_OC","Normal","Waiting","72","","1W246","","2012/09/16 22:45:47","","158.10","",""
"IS_Line","E128313","500G1FC80010.1F","E","500G1F003","2900_CFIS","Normal","OnHold","44","MFG_林峰世_待PE彭孟璿處理","1W047","","2012/09/18 05:30:39","","","","127.08"
"IS_Line","E128313","500G1FC80010.1G","E","500G1F003","2900_CFIS","Normal","OnHold","14","MFG_林峰世_待PE彭孟璿處理","1W413","","2012/09/18 05:31:14","","","","127.01"
"PS_Line","E129132","500G1FC80010.1K","E","500G1F003","2856_CFRC_N2","Normal","Waiting","1","","1W024","","2012/09/22 21:35:47","","15.27","",""
"PS_OCLine","E129132","500G1FC80010.1L","E","500G1F003","2835_CFPH","Normal","Processing","9",".","","","2012/09/23 06:10:27","2012/09/23 11:48:18","","1.06",""
"PS_OCLine","E129132","500G1FC80010.1N","E","500G1F003","2836_CFRC","Normal","Waiting","3","","1W366","","2012/09/23 11:10:51","","1.69","",""
"PS_OCLine","E129132","500G1FC80010.1P","E","500G1F003","2835_CFPH","Normal","OnHold","30","MFG_鄭博元_待CF謝光哲處理","1W221","","2012/09/23 09:25:03","","","","1.15"
"IS_Line","E129132","500G1FC80010.1Q","E","500G1F003","2900_CFIS","Normal","OnHold","18","MFG_陳仕民_PE林志煒指示HOLD18片 待ship cell","1W197","","2012/09/23 10:01:02","","","","2.79"
"R33","E129132","500G1FC80010.1R","E","500G1F003","R33","Normal","Waiting","1","","1W150","","2012/09/23 11:37:36","","1.24","",""
"IS_Line","E129132","500G1FC80010.1S","E","500G1F003","2900_CFIS","Normal","OnHold","17","MFG_陳瑞焜_待TD李承勳處理","1W020","","2012/09/23 11:37:39","","","","0.33"
"CFDR","RCD053","650A1FC70010.1S","P","REWORK-R33-EXG.5","CFDR","Normal","OnHold","72","MFG_鄭博元_oal檢測完成,待rw助理處理","1W179","","2012/09/22 09:44:29","","","","27.07"
"OC_IPSLine","E128151","700A1FC80020.09","E","700A1T008","2610_CFOC","Normal","OnHold","20","MFG_陳韋辰_Hold於CF待AR實驗批回CF後一併Run PS","1W182","","2012/08/23 14:37:15","","","","742.23"
"PS_Rework_Pack_Cst","R700A3","700A1FC80020.0D","P","REWORK-R33-EXG.5","PS_Rework_Pack_Cst","Normal","OnHold","7","MF_IVAN_待外送酸洗_STK4000","PP701","","2012/08/20 16:42:00","","","","429.35"
"","E128215","700A1FC80030.04","E","700A1T008","WaitForReceive","Normal","","53","TD邱鈺梅_7吋ITS PFA改由Nikon 機台Coating批","1W160","","2012/09/21 14:27:35","","","",""
"OC_IPSLine","E128151","700A1FC80030.08","E","700A1T008","2610_CFOC","Normal","OnHold","72","MFG_吳明書_Hold於CF待AR實驗批回CF後一併Run PS","1W072","","2012/08/20 22:07:20","","","","803.36"
"OC_IPSLine","E128214","700A1FC80030.09","E","700A1T008","2610_CFOC","Normal","OnHold","28","待Ship AR進行RX後再回CF Run PS","1W016","","2012/08/20 20:11:36","","","","787.83"
"OC_IPSLine","E129144","700A1FC80050.0D","E","700M1F008","2610_CFOC","Normal","Waiting","72","MFG_洪志龍_做回0C-LINE","1W268","","2012/08/30 02:12:00","","586.67","",""
"OC_IPSLine","E129144","700A1FC80050.0G","E","700M1F008","2610_CFOC","Normal","Waiting","22","","1W015","","2012/08/29 15:09:50","2012/09/02 02:11:07","597.70","",""
"R_Line","E129144","700A1FC80060.03","E","700M1F008","2210_CFRL","Normal","Waiting","30","","1W421","","2012/08/17 01:22:24","","899.49","",""
"","E126262","700F1TC53L50.0L","E","700F1T","WaitForReceive","Hot","","1","已完成PAS","1W459","","2012/06/27 18:35:18","","","",""
"","E127022","700G1TC609E0.07","E","700G1T","WaitForReceive","Normal","","3","MFG孫裕明_Shipping CELL","1W033","","2012/07/03 15:29:00","","","",""
"","E12912C","700H1FC80010.0Z","E","700H1T","RW8A0_RW_PAS","Hot","OnHold","25","MFG_吳明典_NG Port,待TP林欣潔處理","1W167","","2012/09/21 17:36:15","","","","43.25"
"700H_DE_OCL","E12912A","700H1FC80030.0D","E","700H1T","T6A330_DE_OCL","Normal","Waiting","72","","1W241","","2012/09/21 06:38:07","","54.23","",""
"700H_DE_OCL","E12912A","700H1FC80030.0G","E","700H1T","T6A330_DE_OCL","Normal","Waiting","61","","1W114","","2012/09/23 05:56:09","","6.93","",""
"","E129221","700H1FC80050.1D","E","700H1T","WaitForReceive","Normal","","22","已檢完IT SHIP_XY ITO,B ITO ANO by pass 驗證(需專批管控)","1W255","","2012/09/22 13:09:54","","","",""
"700H_PAS_CSTEXW","E129232","700H1FC80050.1F","E","700H1T","T8A602_PAS_CSTEXW","Normal","Waiting","23","","1T435","","","2012/09/23 02:57:32","","",""
"","E12912A","700H1FC800H0.05","E","700H1T","RW6A0_RW_DE","Normal","OnHold","9","MFG_吳明書_ITO ARC NG,送Rework","1W427","","2012/09/21 16:26:58","","","","44.39"
"","E129214","700H1FC800K0.0E","E","700H1T","WaitForReceive","Normal","","20","已檢完IT SHIP_XY ITO ANO by pass 驗證(需專批管控)","1W264","","2012/09/22 10:16:56","","","",""
"700H_DE_CSTEXW","E129235","700H1FC801G0.08","E","700H1T","T6A302_DE_CSTEXW","Normal","Waiting","18","","1T180","","","2012/09/23 06:36:35","","",""
"700H_DE_CSTEXW","E129235","700H1FC801G0.09","E","700H1T","T6A302_DE_CSTEXW","Normal","Waiting","18","","1T297","","","2012/09/23 06:36:45","","",""
